,time/s,Battery Power Output (MW)
0,0,0
1,3.16E-30,0
2,0.009015173,0
3,0.009015173,2.17E-17
4,0.030108923,0.221351371
5,0.050498364,0.382110535
6,0.104305462,0.592322509
7,0.159935425,50
8,0.228723234,0.692195095
9,0.313103733,0.699582047
10,0.421702079,0.701077796
11,0.567499702,0.701245732
12,0.764829152,0.700927902
13,0.935337474,0.700829223
14,1.025677125,0.738659875
15,1.042960787,0.893917405
16,1.060244449,1.013358746
17,1.116074965,1.207644954
18,1.172658233,1.271886362
19,1.243287843,1.294999044
20,1.330154997,1.301149509
21,1.442631487,1.302333975
22,1.594407775,1.30244144
23,1.797702738,1.302006709
24,1.953144283,1.302190688
25,2.073617106,1.26590607
26,2.134063235,1.221924067
27,2.194509365,1.208261271
28,2.290920342,1.203432368
29,2.408042113,1.202611353
30,2.569890582,1.202586455
31,2.782316816,1.203283417
32,2.934367209,1.202940778
33,3.047815393,1.164173656
34,3.07151813,50
35,3.095220866,50
36,3.167914629,1.017453696
37,3.242543925,1.005566916
38,3.341692773,1.002622627
39,3.470623425,1.002171323
40,3.647365437,1.002256485
41,3.865598229,1.003454868
42,3.993475359,1.002384248
43,4.033862222,0.863813681
44,4.074249085,0.7202391
45,4.11572516,0.653149665
46,4.184670619,0.614467798
47,4.263047024,0.604074718
48,4.364772174,0.601699761
49,4.498961567,0.601361536
50,4.682507028,0.601506654
51,4.901456558,0.602987808
52,5.006730481,0.592682834
53,5.024122133,0.458458855
54,5.041513786,0.353208747
55,5.098824919,0.180888642
56,5.156826181,0.125588475
57,5.22965357,0.106243266
58,5.319637082,0.101316245
59,5.436952904,0.100425527
60,5.59611939,0.100379603
61,5.805499426,0.100990828
62,5.972057931,0.101027304
63,6.052082156,0.070100442
64,6.108606112,0.023334627
65,6.165130069,0.007557334
66,6.258655594,0.001351033
67,6.370349149,0.000249184
68,6.524548951,0.000164746
69,6.730791538,0.000659931
70,6.891007567,0.000546242
71,6.978220215,7.82E-16
72,6.978220215,0
73,7.020021273,0
74,7.061822331,0
75,7.070464737,0
76,7.070464737,-1.52E-16
77,7.104923967,-0.043896166
78,7.13563348,-0.069734188
79,7.216972746,-0.093904142
80,7.30278792,-0.098979119
81,7.419751878,-0.099955653
82,7.576133607,-0.10002482
83,7.782643923,-0.099491224
84,7.940972199,-0.099653264
85,8.041105658,-0.050124282
86,8.053611072,-3.72E-13
87,8.053611072,0
88,8.074816262,0
89,8.10584951,0
90,8.174242106,0
91,8.247749033,0
92,8.343490243,0
93,8.467837164,0
94,8.637987864,0
95,8.853962057,0
96,8.98517326,0
97,9.018024044,0
98,9.050874828,0
99,9.091973577,0
100,9.174943226,0
101,9.267379459,0
102,9.393198415,0
103,9.563560906,0
104,9.778388882,0
105,9.923277404,0
106,10.06816593,0
107,10.24625853,0
108,10.44659528,0
109,10.62545096,0
110,10.76903568,0
111,10.9041864,0
112,11.06452936,0
113,11.25928719,0
114,11.45453186,0
115,11.6135748,0
116,11.74754085,0
117,11.89172568,0
118,12.07107169,0
119,12.27345759,0
120,12.41555163,0
121,12.55764567,0
122,12.73310261,0
123,12.93446873,0
124,13.07963563,0
125,13.22480253,0
126,13.40009615,0
127,13.59749145,0
128,13.77723698,0
129,13.92373669,0
130,14.06046773,0
131,14.1178195,0
132,14.17517127,0
133,14.26704117,0
134,14.37746327,0
135,14.52940003,0
136,14.73340544,0
137,14.89627442,0
138,15.01481914,0
139,15.03652456,0
140,15.05822997,0
141,15.12793019,0
142,15.19898174,0
143,15.29243141,0
144,15.41269557,0
145,15.57704952,0
146,15.79017492,0
147,15.94006952,0
148,16.01280804,0
149,16.01280804,6.62E-14
150,16.03395119,0.029530906
151,16.05509435,0.053899842
152,16.13393594,0.090250274
153,16.21311239,0.098073548
154,16.32074931,0.099823673
155,16.46224657,0.100044823
156,16.6547271,0.099798748
157,16.87276023,0.097905763
158,17.04884833,0.11851314
159,17.07376099,0.186025906
160,17.09867365,0.230985624
161,17.16984783,0.283533269
162,17.24355087,0.296600997
163,17.34086093,0.299902323
164,17.46712264,0.300426391
165,17.64012407,0.300370258
166,17.85726676,0.299315883
167,17.98663255,0.300248933
168,18.01785582,0.288767898
169,18.0490791,0.248991066
170,18.08999544,0.22184353
171,18.17253812,0.204753372
172,18.26445761,0.201189482
173,18.38942982,0.200591153
174,18.55854558,0.200619397
175,18.77286334,0.201519734
176,18.91881612,0.20094468
177,19.06476889,0.175450962
178,19.12175244,0.125323933
179,19.178736,0.108264196
180,19.27083227,0.101659236
181,19.38128076,0.100465566
182,19.53335349,0.100362292
183,19.73750664,0.100808133
184,19.90021027,0.100752073
185,20.0629139,0.079306094
186,20.11928986,0.026880463
187,20.17566581,0.008731004
188,20.26660073,0.001596772
189,20.37546348,0.000285691
190,20.52509274,0.000159197
191,20.72674753,0.000552525
192,20.89239318,0.000559
193,20.97966953,1.99E-14
194,20.97966953,0
195,21.00417068,0
196,21.02867183,0
197,21.06197988,0
198,21.14148627,0
199,21.226766,0
200,21.34214803,0
201,21.49637591,0
202,21.70129211,0
203,21.86193364,0
204,22.02257517,0
205,22.04829952,0
206,22.07402386,0
207,22.15499023,0
208,22.23814962,0
209,22.35169112,0
210,22.50248816,0
211,22.70432453,0
212,22.86891412,0
213,23.0335037,0
214,23.05989604,0
215,23.08628839,0
216,23.16720334,0
217,23.25062068,0
218,23.36445178,0
219,23.51574348,0
220,23.71802833,0
221,23.88204112,0
222,24.04605391,0
223,24.09964581,0
224,24.1532377,0
225,24.24128891,0
226,24.34552822,0
227,24.48818648,0
228,24.68192054,0
229,24.89954589,0
230,24.96381487,0
231,24.96381487,0
232,24.96381487,0
233,24.96381487,1.33E-11
234,24.96381487,2.17E-17
235,24.96381487,0
236,24.96381487,1.20E-11
237,24.96381487,6.76E-13
238,24.96381487,0
239,24.96381487,0
240,24.96381487,0
241,24.96381487,0
242,24.96381487,0
243,24.96381487,0
244,24.96381487,0
245,24.96381487,0
246,24.96381487,0
247,24.96381487,0
248,24.96381487,9.86E-15
249,24.96381487,0
250,24.96381488,0
251,24.96381488,0
252,24.96381488,0
253,24.96381488,0
254,24.96381488,0
255,24.96381489,0
256,24.96381491,0
257,24.96381495,0
258,24.96381503,0
259,24.96381519,0
260,24.9638155,0
261,24.96381613,0
262,24.96381738,0
263,24.96381989,0
264,24.96382491,0
265,24.96383495,0
266,24.96385502,0
267,24.96389516,0
268,24.96397545,0
269,24.96413602,0
270,24.96445717,0
271,24.96509947,0
272,24.96638407,0
273,24.96895327,0
274,24.97409167,0
275,24.98436846,0
276,24.98436942,0
277,24.98436942,0
278,24.98436942,0
279,25.00492301,0
280,25.00696016,0
281,25.00696016,3.41E-15
282,25.02256987,0.087736969
283,25.03817958,0.091079166
284,25.069399,0.095314956
285,25.13183783,0.098789875
286,25.2567155,0.099860836
287,25.40728418,0.100004427
288,25.60189572,0.099657855
289,25.80966514,0.0979224
290,25.94034958,0.09954999
291,26.07103403,0.132459335
292,26.13012218,0.178819211
293,26.18921033,0.193752603
294,26.28387757,0.199222105
295,26.39831061,0.200174773
296,26.55626995,0.200228803
297,26.76574633,0.199639916
298,26.92182033,0.199861193
299,27.07789433,0.167852302
300,27.13499443,0.122730843
301,27.19209452,0.107415428
302,27.28620442,0.1014846
303,27.39885721,0.100440255
304,27.55445457,0.100367496
305,27.76197155,0.100896565
306,27.92060906,0.10074373
307,28.07924657,0.068022022
308,28.13745921,0.02209837
309,28.19567184,0.0069245
310,28.29000407,0.00123053
311,28.40355565,0.000232796
312,28.56032237,0.000169428
313,28.76882668,0.000727592
314,28.92618319,0.000541341
315,29.05120522,0.019619203
316,29.10641343,0.072252507
317,29.16162164,0.090912212
318,29.25199524,0.098492184
319,29.3595943,0.09989791
320,29.50743922,0.100042684
321,29.70718326,0.099685203
322,29.87504041,0.099635241
323,29.99277319,0.100085444
324,30.03359496,0.232646391
325,30.07441673,0.380260477
326,30.115194,0.447571123
327,30.1840122,0.487325655
328,30.2619615,0.498019984
329,30.36312329,0.500485665
330,30.49640097,0.500841726
331,30.67876086,0.500707798
332,30.89765174,0.49927849
333,31.0024193,0.498796954
334,31.02147488,0.411166669
335,31.04053047,0.344375516
336,31.10409524,0.241081952
337,31.16847397,0.211718514
338,31.2512775,0.202689402
339,31.35569378,0.200799129
340,31.49566784,0.200556544
341,31.68633041,0.200779415
342,31.90470107,0.202585307
343,32.08282709,0.172041293
344,32.11269763,0.141291608
345,32.14256816,0.122810927
346,32.22930327,0.104534845
347,32.31977329,0.100996781
348,32.44507471,0.100394345
349,32.61379918,0.100419979
350,32.82740201,0.101300624
351,33.0269036,0.098622831
352,33.05328124,0.060609288
353,33.07965889,0.035762823
354,33.16032362,0.007467587
355,33.24350281,0.00150187
356,33.35691955,0.000283565
357,33.5075852,0.000164249
358,33.70931866,0.000571477
359,33.87405604,0.000559191
360,33.89922936,1.02E-14
361,33.89922936,0
362,33.94680069,0
363,33.99437202,0
364,34.04599911,0
365,34.09762619,0
366,34.16280817,0
367,34.2593189,0
368,34.37945583,0
369,34.544932,0
370,34.75935663,0
371,34.90800293,0
372,35.05664923,0
373,35.08027168,0
374,35.0822765,0
375,35.0822765,-6.39E-13
376,35.10589895,-0.032409818
377,35.12952139,-0.057934491
378,35.17676629,-0.083757435
379,35.26088723,-0.096937202
380,35.35762585,-0.099628789
381,35.48922776,-0.100032372
382,35.66824963,-0.099925711
383,35.88580145,-0.098653112
384,36.02384284,-0.099635422
385,36.16188424,-0.099994104
386,36.34005072,-0.099873102
387,36.54903366,-0.098774133
388,36.69004068,-0.099621709
389,36.83104771,-0.099965603
390,37.00778767,-0.09984612
391,37.21172156,-0.098879526
392,37.35519866,-0.099614225
393,37.49867575,-0.099940268
394,37.67448978,-0.099820532
395,37.8744722,-0.098950067
